Mode,SIO2(WT%),TIO2(WT%),AL2O3(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),LOI(WT%),SC(PPM),TI(PPM),V(PPM),CR(PPM),MN(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),PB(PPM),TH(PPM),U(PPM),ND143_ND14,SR87_SR86,PB206_PB20,PB207_PB20,PB208_PB20,Ba/Th,La (PM),Sm (PM),La/Sm (PM),Crustal Thickness
Flat,45.53,1.41,14.88,9.79,11.88,10.06,0.19,1.41,3.24,0.85,2.2,24.47,,215.64,341.84,1291,39.37,174.36,54.01,67.24,16.71,18.23,1004,26.02,150.89,18.11,2.74,723,36.91,70.12,9.18,36.44,7.24,2.03,6.79,0.95,5.01,0.937,2.56,0.352,2.16,0.332,3.44,0.961,8.76,8.05,2.14,,,,,,89.8136646,53.72634643,16.30630631,3.29482014,38.84000015
Flat,45.54,1.43,16,9.51,12.23,9.37,0.18,1.3,3.15,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,37.16999817
Flat,45.67,1.46,15.38,9.57,11.13,10.49,0.19,1.42,3.11,0.82,0.5,30.94,,262.94,375.37,1480,46.33,184.03,56.24,74.95,19.06,33.74,1209.6,28.92,171.22,20.4,2.34,776.75,40.34,80.57,10.08,40.94,8.14,2.38,7.59,1.056,5.34,1.037,2.72,0.425,2.52,0.383,4.11,1.088,11.39,8.2,2.23,0.512826,0.704083,18.5605,15.5935,38.441,94.72560976,58.71906841,18.33333333,3.202858277,38.84000015
Flat,45.68,1.44,14.67,9.64,10.81,11.05,0.18,0.93,2.84,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,37.16999817
Flat,45.69,1.559,14.85,10.76,10.89,9.491,0.1578,1.013,3.327,0.466,,31.54463051,,242.5305,,,,,80.39252335,,18.07229622,19.43234688,724.1735717,22.82891319,153.2371216,15.77943594,0.681449467,404.8820972,23.79020554,45.21634396,6.00985737,26.47470344,5.746392059,1.793700322,5.717909323,0.859466569,4.777979023,0.911447563,2.433137753,0.3133101,2.07211907,0.299068732,4.008945141,0.939218231,6.145150368,3.818822876,0.849497612,,,,,,106.0227485,34.62912015,12.94232446,2.675649205,48.58000183
Flat,45.7,1.65,14.89,9.4,11.8,9.22,0.17,1.35,2.99,0.97,0.3,31.41302533,0.970941565,266.922967,337.4480544,0.128776071,42.22059718,122.3449381,66.48680509,68.59875742,19.80407225,33.73550023,1102.302501,25.91517944,148.6252523,23.63296408,1.30206916,693.650562,40.34525156,79.44882767,9.701941629,38.8693427,7.448087919,2.226768535,6.914089445,0.999504564,4.849985831,0.911202245,2.479923742,0.358157713,2.081616061,0.300769508,3.438798039,1.203372903,10.136666,7.769822628,1.797502069,,,,,,89.27495455,58.72671261,16.77497279,3.500852928,36.84000015
Flat,45.7,2.52,15.44,10.23,9.87,6.41,0.15,1.61,3.9,0.67,2,20.89320207,1.44057592,191.2088349,130.262982,0.118383524,39.37338807,72.9241606,52.54670796,100.6635776,21.27448993,19.6344344,777.5720635,24.76333241,176.3,36.45658704,0.397055164,366.793696,26.56117088,55.73731984,7.173395418,29.69754003,6.603007877,2.22464246,6.573808184,0.943171322,5.220094628,0.921489482,2.336516925,0.313895708,1.863689859,0.279153754,4.159,1.97998175,1.908984041,2.114868844,0.707185789,0.5128447,0.7035498,18.34714707,15.57637099,38.24412511,173.4356705,38.66254859,14.87163936,2.599750279,41
Flat,45.71,1.67,15.21,10.05,10.35,9.06,0.17,1.28,3.48,0.64,0.8,25.87641924,0.968439245,236.6322114,330.4688125,0.135292645,51.67152683,168.6450865,49.8443083,84.35012542,20.58664205,30.80530251,967.979034,24.14709691,143.8644227,19.0486383,1.014928101,475.226222,28.1432028,56.41588954,7.090247588,29.30237653,6.173407281,2.024268028,5.959267793,0.843889064,4.558629025,0.82887838,2.190146885,0.297714812,1.853042711,0.27238336,3.31690913,1.077449428,6.076425433,4.894123633,1.291611557,,,,,,97.10139294,40.9653607,13.90407045,2.946285466,36
Flat,45.73,1.23,14.3,9.84,13.73,10.23,0.18,1.03,2.14,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,37.16999817
Flat,45.792,1.515,15.623,9.43,11.463,7.795,0.165,1.424,3.09,0.579,1.33,27.66290086,0.920864269,267.252939,223.6509282,0.13784541,41.68100584,104.0811606,59.1655846,67.53365448,21.00652695,32.67846893,1220.456474,24.94914799,148.3231047,16.6907097,1.830367745,935.1609075,34.12085483,68.13108441,8.209372948,33.46622845,6.674065796,2.016855654,6.18009532,0.881897339,4.844952875,0.861792014,2.303290421,0.314252521,1.973428638,0.29254769,3.509951089,0.869023758,12.37691898,8.151865637,2.016064109,0.512811,0.703875,18.583,15.602,38.469,114.7174094,49.66645536,15.03167972,3.304118786,36.84000015
Flat,45.8,1.6,14.88,9.76,10.93,10.98,0.18,1.3,3.05,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,37.16999817
Flat,45.83,1.69,13.83,21.17,7.6,4.97,,0.74,4.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,47.08000183
